,PublishDate,Tweets,CleanedTweet
3864,2020-02-04 23:11:18+00:00,"Good news, NYC! We got the results back for the first person under investigation for novel #coronavirus, and they are NEGATIVE: https://on.nyc.gov/2GUHPYv Test results from the other two patients under investigation are still pending.","['news', 'result', 'person', 'investigation', 'test', 'result', 'investigation']"
3865,2020-02-04 23:11:01+00:00,#BREAKING Confirmed by @KETV: Law enforcement says up to 70 people possibly exposed to the Coronavirus in China are being flown to Camp Ashland to be quarantined. More details as we get them.,"['law', 'enforcement', 'people', 'camp', 'detail']"
3866,2020-02-04 23:10:47+00:00,"BREAKING: Multiple people with coronavirus on cruise ship off Yokohama, Japan; 10 people taken to hospital - NHK ","['people', 'cruise', 'ship', 'people', 'hospital']"
3867,2020-02-04 23:10:19+00:00,"In less than 2 weeks, a hospital was built in Wuhan to help combat the #coronavirus. Check out the full story here. ","['week', 'hospital', 'help', 'combat', 'story']"
3868,2020-02-04 23:10:11+00:00,"Medical journal report that a woman without symptoms spread the coronavirus in Germany was wrong. German officials have since spoken directly with the woman, who says she was feeling ill during business trip. ","['report', 'woman', 'symptom', 'woman', 'business', 'trip']"
3869,2020-02-04 23:10:05+00:00,A 39-year-old man has died of the coronavirus in Hong Kong. It's the city's first death as the outbreak widens and the second reported outside of mainland China so far.,"['man', 'city', 'death', 'report', 'mainland']"
3870,2020-02-04 23:09:43+00:00,"ManyPeople Die Everyday,Yet People R GoingCrazy About The #CoronaVirus? I Understand TheCoronaVirus Is Dangerous,But So R ManyOther Things Happening Around The World. We Shudn'tBe FocusedOn 1Issue ThanOthers,When THEY'RE ALL EQUALLY IMPORTANT. #OneVoice1 #OneVoiceMEWorldView","['people', 'thing', 'world', 'thanothers']"
3871,2020-02-04 23:07:52+00:00,"Scary UsaT: Princess Cruises is working with Japanese health officials after confirming the quarantine of one of its ships carrying more than 3,500 people after news one of its passengers tested positive for coronavirus ","['cruises', 'work', 'health', 'ship', 'people', 'news', 'passenger', 'test']"
3872,2020-02-04 23:07:07+00:00,"Funeral Home Worker in Wuhan, Epicenter of Coronavirus: We Are Working 24/7 to Cremate Bodies https://www.theepochtimes.com/funeral-home-worker-in-wuhan-epicenter-of-coronavirus-we-are-working-24-7-to-cremate-bodies_3227432.html via @epochtimes","['funeral', 'home', 'worker', 'work', 'bodies']"
3873,2020-02-04 23:06:48+00:00,Steve Lacy receives mixed reactions over coronavirus comment: http://cmplx.co/zZxivoa,"['reaction', 'comment']"
3874,2020-02-04 23:06:44+00:00,Having fun while staying indoors. Many Chinese people choose to stay at home as long as they can amid the #coronavirus outbreak,"['fun', 'people', 'home']"
3875,2020-02-04 23:06:38+00:00,"A group of visitors from Wuhan is ‘certain’ to have infected a #Vancouver woman with #coronavirus, in BC's second apparent case of the disease https://www.scmp.com/news/china/society/article/3049013/visitors-wuhan-certain-have-infected-vancouver-woman-coronavirus via @scmpnews","['group', 'woman', 'case']"
3876,2020-02-04 23:05:58+00:00,"JUST IN: More than 10 people aboard a Japanese cruise liner have tested positive for #coronavirus, Japan's @tbs_news reported, after all 3,000+ passengers were quarantined earlier Tuesday","['people', 'cruise', 'test', 'report', 'passenger']"
3877,2020-02-04 23:05:17+00:00,"The coronavirus has made it resoundingly clear that by condensing so much of the world’s medical manufacturing in one place, the US and other countries have taken a risk of epic proportions 7/ ","['world', 'manufacturing', 'place', 'country', 'risk', 'proportion']"
3878,2020-02-04 23:05:11+00:00,"As of Tuesday, 20,704 people have been diagnosed with the coronavirus. While only 212 of those cases have occurred outside of mainland China, the downstream effects of the country’s outbreak could send the globe’s medical supply into chaos 1/ https://wired.trib.al/XTkbh8h","['people', 'case', 'mainland', 'effect', 'country', 'supply']"
3879,2020-02-04 23:04:37+00:00,#Japan confirms about 10 #coronavirus cases from cruise ship in port of Yokohama.,"['case', 'cruise', 'ship', 'port']"
3880,2020-02-04 23:02:52+00:00,This doctor tried to warn other doctors of the new #coronavirus back in Dec. Here is his story... #CHINA VankaPro BBC News - The Chinese doctor who tried to warn others about coronavirus,"['doctor', 'doctor', 'story', 'news', 'doctor']"
3881,2020-02-04 23:02:48+00:00,"Report confirming the cruise ship in Japan with about 10 new coronavirus cases is the Diamond Princess, which had been quarantined after a passenger was diagnosed with the virus ","['report', 'cruise', 'ship', 'case', 'passenger', 'virus']"
3882,2020-02-04 23:01:59+00:00,"As Mexico works to prevent the threat of the #coronavirus impacting their country, they received encouragement from China's ambassador for the country. Here's the latest. ","['work', 'threat', 'impact', 'country', 'encouragement', 'country']"
3883,2020-02-04 23:01:20+00:00,This woman in China used a remote-controlled car to buy groceries amid the #coronavirus outbreak,"['woman', 'use', 'car', 'grocery']"
